fiscal_quarter,category,line_item,amount,is_total
Q1 FY2025,Other,Accumulated deficit,-4908921.0,False
Q1 FY2025,Other,Accumulated other comprehensive loss,-15713.0,False
Q1 FY2025,Assets,"Intangible assets, net",307967.0,False
Q1 FY2025,Liabilities,"Operating lease liabilities, current",30940.0,False
Q1 FY2025,Deferred Items,"Operating lease liabilities, non-current",247501.0,False
Q1 FY2025,Other,"Property and equipment, net",263667.0,False
Q1 FY2025,Other,Total Snowflake Inc. stockholders’ equity,4558234.0,True
Q1 FY2025,Deferred Items,Total assets,7298018.0,True
Q1 FY2025,Deferred Items,Total current liabilities,2428823.0,True
Q1 FY2025,Deferred Items,Total liabilities,2730326.0,True
Q1 FY2025,Other,Total liabilities and stockholders’ equity,7298018.0,True
Q1 FY2025,Other,Total stockholders’ equity,4567692.0,True
Q2 FY2025,Other,Accumulated deficit,-5625819.0,False
Q2 FY2025,Other,Accumulated other comprehensive loss,-5379.0,False
Q2 FY2025,Assets,"Intangible assets, net",286538.0,False
Q2 FY2025,Liabilities,"Operating lease liabilities, current",32843.0,False
Q2 FY2025,Deferred Items,"Operating lease liabilities, non-current",279969.0,False
Q2 FY2025,Other,Total Snowflake Inc. stockholders’ equity,4129001.0,True
Q2 FY2025,Deferred Items,Total assets,6943886.0,True
Q2 FY2025,Deferred Items,Total current liabilities,2464682.0,True
Q2 FY2025,Deferred Items,Total liabilities,2806298.0,True
Q2 FY2025,Other,Total liabilities and stockholders’ equity,6943886.0,True
Q2 FY2025,Other,Total stockholders’ equity,4137588.0,True
Q3 FY2025,Other,Accumulated deficit,-6970492.0,False
Q3 FY2025,Other,Accumulated other comprehensive loss,-2760.0,False
Q3 FY2025,Deferred Items,"Convertible senior notes, net",2269459.0,False
Q3 FY2025,Assets,"Intangible assets, net",268514.0,False
Q3 FY2025,Liabilities,"Operating lease liabilities, current",38288.0,False
Q3 FY2025,Deferred Items,"Operating lease liabilities, non-current",287881.0,False
Q3 FY2025,Other,"Property and equipment, net",278374.0,False
Q3 FY2025,Other,Total Snowflake Inc. stockholders’ equity,2929445.0,True
Q3 FY2025,Deferred Items,Total assets,8202258.0,True
Q3 FY2025,Deferred Items,Total current liabilities,2647272.0,True
Q3 FY2025,Deferred Items,Total liabilities,5267849.0,True
Q3 FY2025,Other,Total liabilities and stockholders’ equity,8202258.0,True
Q3 FY2025,Other,Total stockholders’ equity,2934409.0,True
