report_date,region,egg_class,volume,pct_chg_last_week,package
01/29/2024,N/A,Breaking Stock,301.5,-9.1%,30-dozen cases in thousands
01/29/2024,6-Area,Total,1131.7,-3.9%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Total,61.3,14.0%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Total,115.1,16.2%,30-dozen cases in thousands
01/29/2024,South Central (SC),Total,194.1,-6.8%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Total,352.1,-11.0%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Total,255.6,-1.4%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Total,153.4,-5.2%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Jumbo,7.2,1.7%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Jumbo,7.4,-3.5%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Jumbo,12.4,-14.4%,30-dozen cases in thousands
01/29/2024,South Central (SC),Jumbo,8.2,-9.1%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Jumbo,3.4,14.6%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Jumbo,1.6,-10.6%,30-dozen cases in thousands
01/29/2024,6-Area,Misc,73.3,1.5%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Misc,14.8,-1.5%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Misc,11.1,8.1%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Extra Large,15.4,11.8%,30-dozen cases in thousands
01/29/2024,South Central (SC),Extra Large,23.2,-12.6%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Extra Large,22.9,-23.4%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Extra Large,26.1,-11.9%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Extra Large,25.8,-12.7%,30-dozen cases in thousands
01/29/2024,6-Area,Jumbo,40.3,-6.3%,30-dozen cases in thousands
01/29/2024,South Central (SC),Large,105.4,-10.9%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Large,87.7,-25.9%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Large,153.6,2.2%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Large,75.5,-2.6%,30-dozen cases in thousands
01/29/2024,6-Area,Extra Large,115.3,-12.1%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Extra Large,2,-0.3%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Medium,29.9,1.8%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Medium,16.1,6.9%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Medium,16.3,7.8%,30-dozen cases in thousands
01/29/2024,6-Area,Large,518.5,-5.2%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Large,37.2,9.2%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Large,59.1,22.3%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Small,0.1,-25.0%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Small,6.9,-6.1%,30-dozen cases in thousands
01/29/2024,6-Area,Medium,120.5,13.2%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Medium,18.2,39.0%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Medium,21.6,34.8%,30-dozen cases in thousands
01/29/2024,South Central (SC),Medium,18.4,3.9%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Ungraded,7,-32.3%,30-dozen cases in thousands
01/29/2024,6-Area,Small,12.3,10.5%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Small,1.3,-20.5%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Small,0.7,607.0%,30-dozen cases in thousands
01/29/2024,South Central (SC),Small,0.6,55.0%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Small,2.7,71.1%,30-dozen cases in thousands
01/29/2024,6-Area,Ungraded,251.5,-5.8%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Ungraded,1,-26.1%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Ungraded,11.2,-21.3%,30-dozen cases in thousands
01/29/2024,South Central (SC),Ungraded,20.1,4.3%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Ungraded,171,-2.6%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Ungraded,41.1,-11.0%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Misc,0,,30-dozen cases in thousands
01/29/2024,Southwest (SW),Misc,3.7,3.4%,30-dozen cases in thousands
01/29/2024,South Central (SC),Misc,18.3,5.8%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Misc,25.3,-2.9%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Organic,6.9,8.5%,30-dozen cases in thousands
01/29/2024,South Central (SC),Organic,11.3,-10.1%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Organic,39,-0.2%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Organic,7.5,-32.0%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Organic,13.1,-7.9%,30-dozen cases in thousands
01/29/2024,6-Area,Specialty,34.1,7.6%,30-dozen cases in thousands
01/29/2024,South Central (SC),Cage-Free,20.8,9.3%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Cage-Free,103.5,-7.3%,30-dozen cases in thousands
01/29/2024,Southeast (SE),Cage-Free,16.6,7.9%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Cage-Free,3.2,12.7%,30-dozen cases in thousands
01/29/2024,6-Area,Organic,79.3,-6.1%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Organic,1.4,28.7%,30-dozen cases in thousands
01/29/2024,6-Area,Cage-Free,264.8,4.3%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Cage-Free,18.6,9.5%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Cage-Free,102.2,16.0%,30-dozen cases in thousands
01/29/2024,Northwest (NW),Specialty,0.8,57.8%,30-dozen cases in thousands
01/29/2024,Southwest (SW),Specialty,4,37.7%,30-dozen cases in thousands
01/29/2024,South Central (SC),Specialty,4.5,15.0%,30-dozen cases in thousands
01/29/2024,Midwest (MW),Specialty,0,,30-dozen cases in thousands
01/29/2024,Southeast (SE),Specialty,15.8,2.4%,30-dozen cases in thousands
01/29/2024,Northeast (NE),Specialty,9.1,2.0%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Extra Large,2,3.0%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Medium,29.4,5.1%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Medium,15.1,-8.8%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Medium,15.1,-19.6%,30-dozen cases in thousands
01/22/2024,6-Area,Large,546.7,-15.3%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Large,34.1,2.9%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Large,48.3,-31.5%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Small,0.1,-25.0%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Small,7.3,8.0%,30-dozen cases in thousands
01/22/2024,6-Area,Medium,106.5,-15.5%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Medium,13.1,-11.5%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Medium,16,-39.5%,30-dozen cases in thousands
01/22/2024,South Central (SC),Medium,17.7,-16.9%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Ungraded,10.4,-34.8%,30-dozen cases in thousands
01/22/2024,6-Area,Small,11.1,-4.0%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Small,1.6,29.3%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Small,0.1,-92.5%,30-dozen cases in thousands
01/22/2024,South Central (SC),Small,0.4,0.0%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Small,1.6,34.7%,30-dozen cases in thousands
01/22/2024,6-Area,Ungraded,267,-2.3%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Ungraded,1.4,-2.6%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Ungraded,14.2,15.7%,30-dozen cases in thousands
01/22/2024,South Central (SC),Ungraded,19.3,6.3%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Ungraded,175.6,-0.3%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Ungraded,46.2,-6.6%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Misc,0,,30-dozen cases in thousands
01/22/2024,Southwest (SW),Misc,3.6,-28.4%,30-dozen cases in thousands
01/22/2024,South Central (SC),Misc,17.3,19.2%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Extra Large,13.8,-7.3%,30-dozen cases in thousands
01/22/2024,South Central (SC),Extra Large,26.5,-1.2%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Extra Large,29.9,1.6%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Extra Large,29.6,-2.8%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Extra Large,29.5,-13.4%,30-dozen cases in thousands
01/22/2024,6-Area,Jumbo,43,2.6%,30-dozen cases in thousands
01/22/2024,South Central (SC),Large,118.2,-8.1%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Misc,26.1,3.8%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Misc,10.3,-20.2%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Misc,15,-1.0%,30-dozen cases in thousands
01/22/2024,6-Area,Misc,72.2,-0.6%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Jumbo,1.8,-7.6%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Jumbo,3,-3.5%,30-dozen cases in thousands
01/22/2024,South Central (SC),Jumbo,9,-0.3%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Jumbo,14.5,-10.3%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Large,118.4,-22.7%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Large,150.3,-10.8%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Large,77.5,-15.8%,30-dozen cases in thousands
01/22/2024,6-Area,Extra Large,131.2,-4.5%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Jumbo,7.1,68.7%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Jumbo,7.7,2.0%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Organic,6.4,4.3%,30-dozen cases in thousands
01/22/2024,South Central (SC),Organic,12.6,0.9%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Organic,39.1,0.8%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Organic,11.1,1.9%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Organic,14.2,-7.7%,30-dozen cases in thousands
01/22/2024,6-Area,Specialty,31.7,-13.8%,30-dozen cases in thousands
01/22/2024,South Central (SC),Cage-Free,19,0.2%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Cage-Free,111.6,-2.5%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Total,161.8,-13.4%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Total,259.2,-9.2%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Total,395.5,-7.8%,30-dozen cases in thousands
01/22/2024,South Central (SC),Total,208.3,-4.8%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Total,99.1,-26.2%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Total,53.8,-0.8%,30-dozen cases in thousands
01/22/2024,6-Area,Total,1177.8,-10.0%,30-dozen cases in thousands
01/22/2024,N/A,Breaking Stock,331.8,-10.6%,30-dozen cases in thousands
01/22/2024,Southeast (SE),Cage-Free,15.4,-4.6%,30-dozen cases in thousands
01/22/2024,Northeast (NE),Cage-Free,2.8,9.2%,30-dozen cases in thousands
01/22/2024,6-Area,Organic,84.5,-0.3%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Organic,1.1,3.2%,30-dozen cases in thousands
01/22/2024,6-Area,Cage-Free,254,-12.2%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Cage-Free,17,0.1%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Cage-Free,88.1,-26.6%,30-dozen cases in thousands
01/22/2024,Northwest (NW),Specialty,0.5,9.8%,30-dozen cases in thousands
01/22/2024,Southwest (SW),Specialty,2.9,-52.0%,30-dozen cases in thousands
01/22/2024,South Central (SC),Specialty,3.9,26.8%,30-dozen cases in thousands
01/22/2024,Midwest (MW),Specialty,0,,30-dozen cases in thousands
