report_date,region,class,type,volume,pct_chg_last_week,package,commodity,final_ind
01/29/2024,N/A,Breaking Stock,N/A,301.5,-9.1%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Total,N/A,1131.7,-3.9%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Total,N/A,61.3,14.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Total,N/A,115.1,16.2%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Total,N/A,194.1,-6.8%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Total,N/A,352.1,-11.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Total,N/A,255.6,-1.4%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Total,N/A,153.4,-5.2%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Jumbo,N/A,7.2,1.7%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Jumbo,N/A,7.4,-3.5%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Jumbo,N/A,12.4,-14.4%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Jumbo,N/A,8.2,-9.1%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Jumbo,N/A,3.4,14.6%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Jumbo,N/A,1.6,-10.6%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Misc,N/A,73.3,1.5%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Misc,N/A,14.8,-1.5%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Misc,N/A,11.1,8.1%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Extra Large,N/A,15.4,11.8%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Extra Large,N/A,23.2,-12.6%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Extra Large,N/A,22.9,-23.4%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Extra Large,N/A,26.1,-11.9%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Extra Large,N/A,25.8,-12.7%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Jumbo,N/A,40.3,-6.3%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Large,N/A,105.4,-10.9%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Large,N/A,87.7,-25.9%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Large,N/A,153.6,2.2%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Large,N/A,75.5,-2.6%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Extra Large,N/A,115.3,-12.1%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Extra Large,N/A,2,-0.3%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Medium,N/A,29.9,1.8%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Medium,N/A,16.1,6.9%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Medium,N/A,16.3,7.8%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Large,N/A,518.5,-5.2%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Large,N/A,37.2,9.2%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Large,N/A,59.1,22.3%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Small,N/A,0.1,-25.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Small,N/A,6.9,-6.1%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Medium,N/A,120.5,13.2%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Medium,N/A,18.2,39.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Medium,N/A,21.6,34.8%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Medium,N/A,18.4,3.9%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Ungraded,N/A,7,-32.3%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Small,N/A,12.3,10.5%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Small,N/A,1.3,-20.5%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Small,N/A,0.7,607.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Small,N/A,0.6,55.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Small,N/A,2.7,71.1%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Ungraded,N/A,251.5,-5.8%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Ungraded,N/A,1,-26.1%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Ungraded,N/A,11.2,-21.3%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Ungraded,N/A,20.1,4.3%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Ungraded,N/A,171,-2.6%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Ungraded,N/A,41.1,-11.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Misc,N/A,0,,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Misc,N/A,3.7,3.4%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Misc,N/A,18.3,5.8%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Misc,N/A,25.3,-2.9%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Organic,Organic,6.9,8.5%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Organic,Organic,11.3,-10.1%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Organic,Organic,39,-0.2%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Organic,Organic,7.5,-32.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Organic,Organic,13.1,-7.9%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Specialty,Specialty,34.1,7.6%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Cage-Free,Cage-Free,20.8,9.3%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Cage-Free,Cage-Free,103.5,-7.3%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Cage-Free,Cage-Free,16.6,7.9%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Cage-Free,Cage-Free,3.2,12.7%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Organic,Organic,79.3,-6.1%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Organic,Organic,1.4,28.7%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,6-Area,Cage-Free,Cage-Free,264.8,4.3%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Cage-Free,Cage-Free,18.6,9.5%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Cage-Free,Cage-Free,102.2,16.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northwest (NW),Specialty,Specialty,0.8,57.8%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southwest (SW),Specialty,Specialty,4,37.7%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,South Central (SC),Specialty,Specialty,4.5,15.0%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Midwest (MW),Specialty,Specialty,0,,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Southeast (SE),Specialty,Specialty,15.8,2.4%,30-dozen cases in thousands,Shell Eggs,Final
01/29/2024,Northeast (NE),Specialty,Specialty,9.1,2.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Extra Large,N/A,2,3.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Medium,N/A,29.4,5.1%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Medium,N/A,15.1,-8.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Medium,N/A,15.1,-19.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Large,N/A,546.7,-15.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Large,N/A,34.1,2.9%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Large,N/A,48.3,-31.5%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Small,N/A,0.1,-25.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Small,N/A,7.3,8.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Medium,N/A,106.5,-15.5%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Medium,N/A,13.1,-11.5%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Medium,N/A,16,-39.5%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Medium,N/A,17.7,-16.9%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northeast (NE),Ungraded,N/A,10.4,-34.8%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Small,N/A,11.1,-4.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Small,N/A,1.6,29.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Small,N/A,0.1,-92.5%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Small,N/A,0.4,0.0%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Small,N/A,1.6,34.7%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,6-Area,Ungraded,N/A,267,-2.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Ungraded,N/A,1.4,-2.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Ungraded,N/A,14.2,15.7%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Ungraded,N/A,19.3,6.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Midwest (MW),Ungraded,N/A,175.6,-0.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southeast (SE),Ungraded,N/A,46.2,-6.6%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Northwest (NW),Misc,N/A,0,,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Misc,N/A,3.6,-28.4%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Misc,N/A,17.3,19.2%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,Southwest (SW),Extra Large,N/A,13.8,-7.3%,30-dozen cases in thousands,Shell Eggs,Final
01/22/2024,South Central (SC),Extra Large,N/A,26.5,-1.2%,30-dozen cases in thousands,Shell Eggs,Final
