fiscal_quarter,category,line_item,amount
Q2 FY2025,Current assets,Cash and cash equivalents,1282045.0
Q2 FY2025,Current assets,Short-term investments,1948462.0
Q2 FY2025,Current assets,"Accounts receivable, net",431597.0
Q2 FY2025,Current assets,"Deferred commissions, current",86899.0
Q2 FY2025,Current assets,Prepaid expenses and other current assets,149085.0
Q2 FY2025,Total current assets,Total current assets,3898088.0
Q2 FY2025,Total current assets,Long-term investments,697406.0
Q2 FY2025,Total current assets,"Property and equipment, net",264778.0
Q2 FY2025,Total current assets,Operating lease right-of-use assets,272459.0
Q2 FY2025,Total current assets,Goodwill,984076.0
Q2 FY2025,Total current assets,"Intangible assets, net",286538.0
Q2 FY2025,Total current assets,"Deferred commissions, non-current",177457.0
Q2 FY2025,Total current assets,Other assets,363084.0
Q2 FY2025,Total assets,Total assets,6943886.0
Q2 FY2025,Current liabilities,Accounts payable,134537.0
Q2 FY2025,Current liabilities,Accrued expenses and other current liabilities,448926.0
Q2 FY2025,Current liabilities,"Operating lease liabilities, current",32843.0
Q2 FY2025,Current liabilities,"Deferred revenue, current",1848376.0
Q2 FY2025,Total current liabilities,Total current liabilities,2464682.0
Q2 FY2025,Total current liabilities,"Operating lease liabilities, non-current",279969.0
Q2 FY2025,Total current liabilities,"Deferred revenue, non-current",12280.0
Q2 FY2025,Total current liabilities,Other liabilities,49367.0
Q2 FY2025,Total liabilities,Total liabilities,2806298.0
Q4 FY2024,Current assets,Cash and cash equivalents,1762749.0
Q4 FY2024,Current assets,Short-term investments,2083499.0
Q4 FY2024,Current assets,"Accounts receivable, net",926902.0
Q4 FY2024,Current assets,"Deferred commissions, current",86096.0
Q4 FY2024,Current assets,Prepaid expenses and other current assets,180018.0
Q4 FY2024,Total current assets,Total current assets,5039264.0
Q4 FY2024,Total current assets,Long-term investments,916307.0
Q4 FY2024,Total current assets,"Property and equipment, net",247464.0
Q4 FY2024,Total current assets,Operating lease right-of-use assets,252128.0
Q4 FY2024,Total current assets,Goodwill,975906.0
Q4 FY2024,Total current assets,"Intangible assets, net",331411.0
Q4 FY2024,Total current assets,"Deferred commissions, non-current",187093.0
Q4 FY2024,Total current assets,Other assets,273810.0
Q4 FY2024,Total assets,Total assets,8223383.0
Q4 FY2024,Current liabilities,Accounts payable,51721.0
Q4 FY2024,Current liabilities,Accrued expenses and other current liabilities,446860.0
Q4 FY2024,Current liabilities,"Operating lease liabilities, current",33944.0
Q4 FY2024,Current liabilities,"Deferred revenue, current",2198705.0
Q4 FY2024,Total current liabilities,Total current liabilities,2731230.0
Q4 FY2024,Total current liabilities,"Operating lease liabilities, non-current",254037.0
Q4 FY2024,Total current liabilities,"Deferred revenue, non-current",14402.0
Q4 FY2024,Total current liabilities,Other liabilities,33120.0
Q4 FY2024,Total liabilities,Total liabilities,3032789.0
